iter	Passed	Remaining
331	10365	20856
332	10389	20810
333	10413	20765
334	10440	20725
335	10467	20685
336	10498	20653
337	10524	20612
338	10547	20566
339	10573	20525
340	10600	20485
341	10623	20438
342	10649	20397
343	10679	20365
344	10708	20331
345	10735	20292
346	10758	20245
347	10784	20204
348	10807	20160
349	10831	20116
350	10854	20070
351	10880	20030
352	10904	19986
353	10931	19948
354	10956	19907
355	10982	19866
356	11008	19827
357	11031	19783
358	11053	19737
359	11079	19697
360	11104	19655
361	11131	19618
362	11157	19579
363	11183	19540
364	11206	19497
365	11229	19452
366	11249	19403
367	11271	19358
368	11294	19314
369	11329	19290
370	11365	19269
371	11397	19241
372	11422	19200
373	11443	19153
374	11464	19107
375	11488	19065
376	11510	19020
377	11535	18981
378	11560	18941
379	11587	18906
380	11614	18870
381	11637	18827
382	11662	18787
383	11687	18748
384	11709	18704
385	11731	18661
386	11757	18623
387	11782	18585
388	11802	18538
389	11823	18492
390	11841	18444
391	11861	18397
392	11884	18355
393	11903	18308
394	11924	18263
395	11946	18221
396	12048	18300
397	12076	18266
398	12096	18220
399	12117	18175
